a name,year_birth,age,log_age,bm_before,bm_after,hibdur days,hibstart,hibend,hibendyearbefore,bmspring,year,sex,diet,age death,repro_active
39,2011,1,0,197,128,211,18.09.12,17.04.13,12.06.12,119,2012,m,medium,5,no
39,2011,2,0.301,213,155,266,04.09.13,28.05.14,17.04.13,128,2013,m,medium,5,yes
39,2011,3,0.4771,212,156,266,03.09.14,27.05.15,28.05.14,155,2014,m,medium,5,yes
40,2011,1,0,193,117,259,21.07.12,07.05.13,05.06.12,98,2012,m,medium,,no
40,2011,2,0.301,190,131,259,28.08.13,14.05.14,07.05.13,117,2013,m,medium,,yes
40,2011,3,0.4771,189,145,294,23.07.14,13.05.15,14.05.14,131,2014,m,medium,,yes
41,2011,1,0,209,131,238,04.09.12,30.04.13,05.06.12,138,2012,m,medium,,no
41,2011,2,0.301,242,176,266,21.08.13,14.05.14,30.04.13,131,2013,m,medium,,yes
41,2011,3,0.4771,253,161,294,23.07.14,13.05.15,14.05.14,176,2014,m,medium,,yes
42,2011,1,0,236,156,280,31.07.12,07.05.13,12.06.12,130,2012,m,medium,,no
42,2011,2,0.301,241,175,259,04.09.13,21.05.14,07.05.13,156,2013,m,medium,,yes
42,2011,3,0.4771,254,173,280,06.08.14,13.05.15,21.05.14,175,2014,m,medium,,yes
43,2011,1,0,167,104,238,04.09.12,30.04.13,19.06.12,96,2012,m,medium,3,no
43,2011,2,0.301,193,120,259,11.09.13,28.05.14,30.04.13,104,2013,m,medium,3,yes
44,2011,1,0,162,114,253,02.10.12,12.06.13,19.03.12,113,2012,m,medium,2,no
45,2011,1,0,197,141,274,28.08.12,29.05.13,05.06.12,109,2012,m,medium,,no
45,2011,2,0.301,213,168,273,28.08.13,28.05.14,29.05.13,141,2013,m,medium,,yes
45,2011,3,0.4771,215,149,273,06.08.14,06.05.15,28.05.14,168,2014,m,high fat,,yes
46,2002,2,0.301,178,114,262,20.08.04,09.05.05,,,2004,f,medium,6,no
46,2002,3,0.4771,180,140,265,24.08.05,16.05.06,09.05.05,114,2005,f,medium,6,yes
46,2002,4,0.6021,214,183,262,19.09.06,08.06.07,16.05.06,140,2006,f,medium,6,no
46,2002,5,0.699,201,145,216,10.10.07,13.05.08,08.06.07,183,2007,f,high fat,6,no
47,2002,2,0.301,181,98,290,06.08.04,23.05.05,,,2004,f,medium,6,no
47,2002,3,0.4771,193,161,252,01.09.05,23.05.06,23.05.05,98,2005,f,medium,6,no
47,2002,4,0.6021,188,131,321,06.06.06,23.04.07,23.05.06,161,2006,f,medium,6,no
48,2002,2,0.301,210,146,276,20.08.04,23.05.05,,,2004,f,medium,6,yes
48,2002,3,0.4771,222,133,343,20.08.05,23.05.06,23.05.05,146,2005,f,medium,6,no
48,2002,4,0.6021,204,123,240,26.09.06,24.05.07,23.05.06,133,2006,f,medium,6,yes
48,2002,5,0.699,191,144,237,13.09.07,07.05.08,24.05.07,123,2007,f,high fat,6,yes
49,2003,1,0,150,93,250,20.08.04,27.04.05,,,2004,f,medium,3,no
49,2003,2,0.301,205,138,349,29.06.05,13.06.06,27.04.05,93,2005,f,medium,3,yes
50,2003,1,0,168,116,292,20.08.04,08.06.05,,,2004,f,medium,11,no
50,2003,2,0.301,165,92,349,29.06.05,13.06.06,08.06.05,116,2005,f,medium,11,no
50,2003,3,0.4771,157,117,254,19.06.06,31.05.07,13.06.06,92,2006,f,medium,11,no
