scientific_name,family,reproductive_mode,ac,median_depth,max_size_cm,ventilation_method,habitat,estimate_type,mortality_prop,gear_class,estimate_type_new
Mustelus fasciatus,Triakidae,lecithotrophic viviparity,7.3961,125.5,150,ram,demersal,PRM Longline,0.4101779007040597,Longline,PRM
Schroederichthys saurisqualus,Scyliorhinidae,lecithotrophic oviparity,6.812653333,311,69.2,stationary,demersal,AVM Longline,0.21738607639290913,Longline,AVM
Schroederichthys saurisqualus,Scyliorhinidae,lecithotrophic oviparity,6.812653333,311,69.2,stationary,demersal,PRM Longline,0.3858655354098168,Longline,PRM
Scyliorhinus haeckelii,Scyliorhinidae,lecithotrophic oviparity,8.9634,310,64.7,stationary,demersal,AVM Longline,0.20779528076517215,Longline,AVM
Scyliorhinus haeckelii,Scyliorhinidae,lecithotrophic oviparity,8.9634,310,64.7,stationary,demersal,PRM Longline,0.41121208339262433,Longline,PRM
Rhizoprionodon lalandii,Carcharhinidae,matrotrophic viviparity,7.117931034,35,102.1,ram,demersal,AVM Longline,0.3204883087487726,Longline,AVM
Rhizoprionodon lalandii,Carcharhinidae,matrotrophic viviparity,7.117931034,35,102.1,ram,demersal,PRM Longline,0.3509387547590741,Longline,PRM
Sphyrna media,Sphyrnidae,matrotrophic viviparity,11.45743775,50,150,ram,demersal,AVM Longline,0.3292206292271092,Longline,AVM
Sphyrna media,Sphyrnidae,matrotrophic viviparity,11.45743775,50,150,ram,demersal,PRM Longline,0.3329459812729653,Longline,PRM
Sphyrna tudes,Sphyrnidae,matrotrophic viviparity,8.8064,42.5,134,ram,pelagic,AVM Longline,0.3172402317997644,Longline,AVM
Sphyrna tudes,Sphyrnidae,matrotrophic viviparity,8.8064,42.5,134,ram,pelagic,PRM Longline,0.385083887409251,Longline,PRM
Mustelus schmitti,Triakidae,lecithotrophic viviparity,6.6001,98.5,108.5,ram,demersal,AVM Longline,0.2996648579074055,Longline,AVM
Mustelus schmitti,Triakidae,lecithotrophic viviparity,6.6001,98.5,108.5,ram,demersal,PRM Longline,0.3686006297518781,Longline,PRM
Mustelus higmani,Triakidae,lecithotrophic viviparity,9.853114,450.5,77.40000153,ram,demersal,AVM Longline,0.2196592992539556,Longline,AVM
Mustelus higmani,Triakidae,lecithotrophic viviparity,9.853114,450.5,77.40000153,ram,demersal,PRM Longline,0.3643886793441026,Longline,PRM
Mustelus sinusmexicanus,Triakidae,lecithotrophic viviparity,9.4027,135,83,ram,pelagic,AVM Longline,0.28030613463563486,Longline,AVM
Mustelus sinusmexicanus,Triakidae,lecithotrophic viviparity,9.4027,135,83,ram,pelagic,PRM Longline,0.3765696022651928,Longline,PRM
Cirrhigaleus asper,Squalidae,lecithotrophic viviparity,8.3281,425,120,stationary,demersal,AVM Longline,0.16362256330313532,Longline,AVM
Cirrhigaleus asper,Squalidae,lecithotrophic viviparity,8.3281,425,120,stationary,demersal,PRM Longline,0.4332762311907633,Longline,PRM
Isistius plutodus,Dalatiidae,lecithotrophic viviparity,15.604,1045,42.3,ram,pelagic,AVM Longline,0.22485475663879892,Longline,AVM
Isistius plutodus,Dalatiidae,lecithotrophic viviparity,15.604,1045,42.3,ram,pelagic,PRM Longline,0.27386945915763145,Longline,PRM
Squaliolus laticaudus,Dalatiidae,lecithotrophic viviparity,7.4546,905,27.5,stationary,pelagic,AVM Longline,0.1601683130440905,Longline,AVM
Squaliolus laticaudus,Dalatiidae,lecithotrophic viviparity,7.4546,905,27.5,stationary,pelagic,PRM Longline,0.3543055070641271,Longline,PRM
