family,binomial_name,common_name,endocranial_volume,brain_mass,ocw_mm,body_mass
Basilosauridae,Zygorhiza_kochii,NA,1189.000,927.210,120.000,877.472
Basilosauridae,Dorudon_atrox,NA,1173.000,886.610,126.000,1022.496
Bovidae,Neotragus_moschatus,NA,32.000,30.755,NA,3.250
Bovidae,Cephalophus_monticola,NA,48.000,44.901,NA,10.000
Bovidae,Cephalophus_nigrifrons,NA,85.000,76.539,NA,11.900
Bovidae,Redunca_redunca,NA,124.000,112.511,NA,12.500
Bovidae,Cephalophus_zebra,NA,83.000,74.857,NA,13.000
Bovidae,Cephalophus_natalensis,NA,83.000,74.857,NA,13.650
Bovidae,Kobus_kob,NA,204.000,173.275,NA,31.000
Bovidae,Cephalophus_leucogaster,NA,93.000,83.242,NA,45.000
Bovidae,Redunca_arundinum,NA,138.000,124.320,NA,47.500
Bovidae,Tragelaphus_spekei,NA,158.000,119.098,NA,48.500
Bovidae,Tragelaphus_scriptus,NA,145.000,110.516,NA,51.286
Bovidae,Redunca_fulvorufula,NA,109.000,99.759,NA,61.400
Bovidae,Litocranius_walled,NA,124.000,108.880,NA,123.000
Bovidae,Hippotragus_equinus,NA,388.000,315.728,NA,126.250
Bovidae,Cephalophus_sylvicultor,NA,170.000,146.162,NA,130.000
Bovidae,Tragelaphus_imberbis,NA,219.000,158.274,NA,145.000
Bovidae,Tragelaphus_spekii,NA,220.300,145.000,69.120,153.978
Bovidae,Tragelaphus_strepsiceros,NA,342.000,280.649,NA,172.500
Bovidae,Oryx_gazella,NA,274.000,228.197,NA,175.000
Bovidae,Kobus_leche,NA,223.000,188.291,NA,230.200
Bovidae,Hippotragus_niger,NA,281.000,233.633,NA,238.800
Bovidae,Tragelaphus_oryx,NA,485.000,316.359,NA,500.000
Cainotheriidae,Robiacina_aff._lavergnensis,NA,2.500,2.848,NA,0.397
Cainotheriidae,Cainotherium,NA,5.200,5.642,13.000,0.503
Cainotheriidae,Oxacron_sp.,NA,1.900,2.205,NA,0.576
Camelidae,Poebrotherium,NA,31.000,29.857,NA,19.000
Camelidae,Poebrotherium,NA,60.000,55.298,NA,41.000
Camelidae,Lama_pacos,NA,178.000,152.572,NA,55.000
Camelidae,Lama_glama,NA,232.000,195.374,NA,80.000
Camelidae,Protolabis,NA,140.000,126.000,NA,97.000
Camelidae,Procamelus,NA,380.000,319.868,NA,310.000
Cebochoeridae,Cebochoerus_sp.,NA,17.200,17.230,NA,17.230
Cervidae,Muntiacus_muntjak,NA,122.000,107.240,NA,15.300
Cervidae,Dicrocerus,NA,150.000,130.048,NA,47.000
Cetotheriidae,Piscobalaena_nana,NA,14309.000,1061.780,131.000,1155.169
Choeropotamidae,Tapirulus_hyracinus,NA,10.707,11.070,NA,2.250
Dacrytheriidae,Dacrytherium,NA,35.000,33.438,NA,12.000
Dacrytheriidae,Diplobune,NA,53.000,49.252,NA,40.000
Dacrytheriidae,Anoplotherium,NA,80.000,72.329,NA,82.000
