subject_name,tactic.aggregate,season.year,tactic.season,year.begin,year.end,n.fixes,year.mean,year.max,year.delta,year.mcp.area,mu.daily.disp,subject_sex,subject_ageClass,centroid.dist.meters,tactic.prev,tactic.change
Limo,2,2019,2,2019-04-01,2019-08-01,2923,0.0168,0.0194,0.0060,57867.75,8335.32,male,mature adult,247.39,2,0
Lina,1,2014,1,2014-04-26,2015-03-31,7600,0.0057,0.0125,0.0125,58761.73,6075.21,female,young adult,3605.00,NA,NA
Lina,1,2015,1,2015-04-01,2015-12-09,5619,0.0004,0.0042,0.0042,26314.37,5628.89,female,young adult,4052.22,1,0
Lucy,4,2015,4,2015-06-13,2016-03-31,6616,0.2160,0.3176,0.1856,59559.57,7914.47,female,young adult,0.00,NA,NA
Lucy,4,2016,4,2016-04-01,2017-03-31,8396,0.2188,0.2588,0.0889,39691.27,7805.76,female,young adult,108.17,4,0
Lucy,4,2017,4,2017-04-01,2017-07-25,2620,0.1927,0.2139,0.0324,17611.66,8054.86,female,young adult,0.00,4,0
Maddy,1,2011,1,2012-02-06,2012-03-30,917,0.0000,0.0000,0.0000,16213.58,6596.04,female,young adult,5481.14,NA,NA
Maddy,1,2012,1,2012-04-01,2013-03-31,7459,0.0072,0.0250,0.0250,36964.49,7811.61,female,young adult,5367.99,1,0
Maddy,1,2013,1,2013-04-01,2014-03-31,7590,0.0037,0.0130,0.0130,46008.88,7440.03,female,young adult,7650.00,1,0
Maddy,1,2014,1,2014-04-01,2015-03-31,6245,0.0000,0.0000,0.0000,30011.40,6168.19,female,young adult,6778.27,1,0
Marima,2,2011,1,2012-01-29,2012-03-31,1491,0.0000,0.0005,0.0005,190448.70,9195.20,female,young adult,20251.42,NA,NA
Marima,2,2012,2,2012-04-01,2013-03-31,6484,0.0205,0.0389,0.0389,133437.38,9017.00,female,young adult,2670.00,1,1
Marima,2,2013,2,2013-04-01,2014-03-31,6323,0.0299,0.0644,0.0625,185596.08,10050.00,female,young adult,0.00,2,0
Marima,2,2014,2,2014-04-01,2015-02-07,2819,0.0156,0.0296,0.0181,111530.99,8892.17,female,young adult,10460.20,2,0
Mytene,1,2013,1,2013-08-18,2014-03-31,5093,0.0020,0.0037,0.0032,74796.47,7098.44,male,mature adult,6922.98,NA,NA
Mytene,1,2014,1,2014-04-01,2015-03-31,8327,0.0006,0.0023,0.0023,65062.68,6415.06,male,mature adult,11345.08,1,0
Mytene,1,2015,1,2015-04-01,2016-03-31,8352,0.0035,0.0120,0.0120,79134.89,7437.20,male,mature adult,9156.64,1,0
Mytene,1,2016,1,2016-04-01,2017-03-31,8304,0.0008,0.0019,0.0019,111817.67,6542.66,male,mature adult,15130.98,1,0
Mytene,1,2017,1,2017-04-01,2018-02-22,7797,0.0000,0.0009,0.0009,52538.45,6546.49,male,mature adult,11005.13,1,0
Naibosho,2,2012,2,2012-06-24,2013-03-31,4777,0.0080,0.0190,0.0190,49991.95,7437.24,female,young adult,657.95,NA,NA
Naibosho,2,2013,2,2013-04-01,2014-03-31,8523,0.0332,0.0778,0.0778,46795.81,6682.36,female,young adult,30.00,2,0
Naibosho,2,2014,2,2014-04-01,2014-12-06,5688,0.0125,0.0282,0.0278,55364.51,6221.95,female,young adult,2030.49,2,0
Naibosho,2,2015,2,2015-04-21,2016-03-31,7702,0.0203,0.0546,0.0519,43844.88,6402.97,female,young adult,1688.82,2,0
Naibosho,2,2016,2,2016-04-01,2017-03-31,8602,0.0339,0.0731,0.0681,39818.26,6000.25,female,young adult,990.45,2,0
Naibosho,2,2017,2,2017-04-01,2018-03-31,8250,0.0285,0.0583,0.0583,38030.04,6627.35,female,young adult,2452.30,2,0
Naibosho,2,2018,2,2018-04-01,2019-03-20,8301,0.0231,0.0449,0.0449,42596.93,6403.19,female,young adult,1470.92,2,0
Naibosho,2,2019,2,2019-04-05,2019-12-31,6310,0.0319,0.0681,0.0653,42843.18,6634.05,female,young adult,3278.80,2,0
Namunyak,1,2016,1,2016-04-01,2017-03-31,8726,0.0069,0.0111,0.0083,90009.54,7583.16,female,young adult,1963.11,NA,NA
Namunyak,1,2017,1,2017-04-01,2018-03-31,8742,0.0030,0.0102,0.0097,22330.42,7142.93,female,young adult,67.08,1,0
Namunyak,1,2018,1,2018-04-01,2019-03-31,8732,0.0061,0.0120,0.0106,25295.48,7014.60,female,young adult,361.25,1,0
Namunyak,1,2019,1,2019-04-01,2019-11-16,5517,0.0053,0.0079,0.0060,21421.21,6722.63,female,young adult,361.25,1,0
Olchoda,4,2016,3,2016-12-25,2017-03-31,2302,0.1160,0.1486,0.0417,11961.93,7531.25,male,mature adult,120.00,NA,NA
